ocid,id,contracts/0/id,contracts/0/suppliers/0/id,contracts/0/suppliers/0/name
ocds-lcuori-121095,ocds-lcuori-121095/3-contract,121095,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-121096,ocds-lcuori-121096/3-contract,121096,HN-RTN-0801900750726,NIPRO MEDICAL CORPORATION
ocds-lcuori-121099,ocds-lcuori-121099/3-contract,121099,HN-RTN-08019002272161,Healthcare Products Centroamerica S. de R.L.
ocds-lcuori-121098,ocds-lcuori-121098/3-contract,121098,HN-RTN-08019002272161,Healthcare Products Centroamerica S. de R.L.
ocds-lcuori-121100,ocds-lcuori-121100/3-contract,121100,HN-RTN-08019007086466,"BEBIDAS MODERNAS, S. DE R. L. "
ocds-lcuori-121105,ocds-lcuori-121105/3-contract,121105,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121107,ocds-lcuori-121107/3-contract,121107,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121103,ocds-lcuori-121103/3-contract,121103,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121104,ocds-lcuori-121104/3-contract,121104,HN-RTN-08019995290621,DISPROA S. DE R.L. 
ocds-lcuori-121110,ocds-lcuori-121110/3-contract,121110,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-121112,ocds-lcuori-121112/3-contract,121112,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-121115,ocds-lcuori-121115/3-contract,121115,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-121116,ocds-lcuori-121116/3-contract,121116,HN-RTN-08019004002160,Leoplast S.de R.L.
ocds-lcuori-121121,ocds-lcuori-121121/3-contract,121121,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-121122,ocds-lcuori-121122/3-contract,121122,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-121123,ocds-lcuori-121123/3-contract,121123,HN-RTN-01071956011840,MEDITEC
ocds-lcuori-121124,ocds-lcuori-121124/3-contract,121124,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121125,ocds-lcuori-121125/3-contract,121125,HN-RTN-08019995290621,DISPROA S. DE R.L. 
ocds-lcuori-121126,ocds-lcuori-121126/3-contract,121126,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-121127,ocds-lcuori-121127/3-contract,121127,HN-RTN-05019995108892,"ACCESORIOS PARA COMPUTADORA Y OFICINA, S. A."
